#{"t_start": 1750917717.821401, "env_id": "None"}
r,l,t
-1481.7134,250,18.394362
-1476.1755,250,18.693765
-1510.178,250,18.991448
-1521.878,250,19.292621
-1511.0693,250,23.142187
-1489.8104,250,26.247048
-1502.9161,250,29.355862
-1531.0936,250,32.446505
-1478.5804,250,35.521983
-1515.1395,250,38.562588
-1511.607,250,41.615898
-1512.6438,250,44.668247
-1489.347,250,47.713725
-1479.4667,250,50.766796
-1470.7905,250,53.831638
-1484.3279,250,56.911391
-1470.6533,250,59.964423
-1447.7301,250,63.017203
-1465.656,250,66.079593
-1440.882,250,69.181026
-1422.4321,250,74.668113
-1441.3485,250,77.778128
-1415.548,250,80.878162
-1450.2957,250,83.933208
-1407.7361,250,86.999139
-1377.0272,250,90.080937
-1339.5524,250,93.133649
-1347.7075,250,96.220051
-1286.9021,250,99.274742
-1269.451,250,102.312896
-1238.4387,250,105.328472
-1267.6627,250,108.323992
-1249.7693,250,111.3331
-1258.4825,250,114.324623
-1192.7734,250,117.310587
-1184.5952,250,120.32216
-1164.1019,250,123.317337
-1157.7528,250,126.344663
-1120.9951,250,129.421787
-1114.0553,250,132.505943
-1108.2511,250,137.997487
-1072.5394,250,141.102225
-1071.7961,250,144.198812
-1067.9618,250,147.294509
-1046.4675,250,150.36815
-1082.5879,250,153.438727
-1041.313,250,156.51672
-1044.7994,250,159.608026
-1035.4587,250,162.682972
-1037.5273,250,165.754994
-1025.7056,250,168.853164
-1038.84,250,171.929371
-1026.8187,250,175.021012
-1025.5621,250,178.112129
-1028.9473,250,181.198757
-1039.6116,250,184.283963
-1031.4146,250,187.379684
-1008.9004,250,190.461056
-1022.6482,250,193.531184
-1019.06433,250,196.599335
-1013.23724,250,202.024787
-992.674,250,205.102947
-1007.78644,250,208.224222
-1023.2477,250,211.310496
-1007.65344,250,214.378223
-993.92926,250,217.445943
-977.0831,250,220.506114
-993.4406,250,223.567588
-987.28644,250,226.632954
-978.92065,250,229.724672
-1013.48846,250,232.836653
-999.77496,250,235.913194
-990.515,250,238.987797
-973.0968,250,242.06813
-994.5965,250,245.16389
-1002.5386,250,248.254564
-989.7683,250,251.360783
-981.60187,250,254.469429
-975.3149,250,257.549724
-999.9171,250,260.606742
-980.9244,250,266.061288
-990.94507,250,269.168986
-977.35297,250,272.249868
-974.4324,250,275.353162
-991.98303,250,278.459449
-988.18414,250,281.574618
-997.1651,250,284.676234
-983.48016,250,287.786718
-982.135,250,290.88607
-977.9114,250,293.963939
-994.737,250,297.051735
-976.13763,250,300.129638
-989.15295,250,303.219224
-997.9154,250,306.32011
-1006.4709,250,309.420154
-1025.5803,250,312.488777
-1009.17773,250,315.562134
-995.40234,250,318.6624
-985.29205,250,321.776715
-984.9037,250,324.897205
-976.8669,250,330.298843
-968.74084,250,333.400728
-950.53937,250,336.51787
-1003.96124,250,339.63786
-997.75824,250,342.746961
-986.61005,250,345.873812
-991.3984,250,348.991366
-971.63586,250,352.114731
-995.3949,250,355.236886
-978.988,250,358.330986
-1002.62915,250,361.454477
-956.7552,250,364.560125
-971.9646,250,367.687297
-1004.1362,250,370.813391
-989.64703,250,373.934355
-980.69635,250,377.02834
-988.2098,250,380.133485
-980.01245,250,383.244737
-1008.04224,250,386.312428
-968.0336,250,389.422045
-976.3649,250,394.907734
-1000.7703,250,398.003115
-970.7704,250,401.094543
-997.91406,250,404.212062
-987.81757,250,407.319639
-977.7348,250,410.40965
-993.0214,250,413.472567
-980.3312,250,416.58727
-1006.0144,250,419.7209
-978.04095,250,422.817435
-968.7037,250,425.921558
-985.6132,250,429.01721
-983.04224,250,432.12014
-975.2421,250,435.215075
-972.67896,250,438.30167
-972.5345,250,441.389292
-975.3435,250,444.469262
-963.0093,250,447.565095
-959.443,250,450.649756
-998.0908,250,453.726155
-996.9948,250,459.135493
-958.51135,250,462.222088
-1015.4581,250,465.310683
-976.4507,250,468.404448
-977.0303,250,471.467809
-969.132,250,474.52721
-985.9813,250,477.596063
-972.0785,250,480.661112
-974.45605,250,483.71574
-981.5876,250,486.784604
-973.9556,250,489.874279
-1004.9849,250,492.939442
-999.0109,250,496.005419
-958.70953,250,499.062732
-990.7051,250,502.117209
-1001.10895,250,505.166919
-981.45105,250,508.222181
-971.27435,250,511.277695
-996.64746,250,514.335199
-975.79926,250,517.433968
-1006.4072,250,522.838995
-981.8319,250,525.924345
-990.4201,250,529.007929
-995.7874,250,532.076973
-998.4744,250,535.143918
-954.4626,250,538.239797
