#{"t_start": 1750880863.975294, "env_id": "None"}
r,l,t
-58.431023,1000,463.441686
-61.739876,1000,465.19213
-65.35776,1000,466.939403
-58.679558,1000,468.692983
-62.335083,1000,470.472674
-65.73757,1000,472.237086
-55.249676,1000,474.006856
-64.194954,1000,475.776151
-55.5073,1000,477.544676
-64.69636,1000,479.310735
-58.03459,1000,961.155741
-58.985218,1000,962.910173
-59.390594,1000,964.681248
-58.519356,1000,966.4313
-58.008186,1000,968.179198
-59.086727,1000,969.931422
-59.04719,1000,971.681596
-58.842495,1000,973.442124
-59.46292,1000,975.205976
-58.746166,1000,976.964209
-59.195316,1000,1459.442154
-60.03667,1000,1461.204516
-58.54818,1000,1462.964094
-59.833836,1000,1464.71935
-59.62081,1000,1466.480605
-59.504208,1000,1468.245656
-60.04855,1000,1470.005352
-59.15312,1000,1471.762374
-58.25381,1000,1473.535697
-58.22574,1000,1475.302803
-58.585434,1000,1974.53918
-58.46204,1000,1976.298527
-58.53448,1000,1978.0439
-59.11233,1000,1979.80623
-58.267765,1000,1981.557606
-59.21067,1000,1983.305489
-59.540085,1000,1985.054209
-59.036564,1000,1986.808482
-58.58933,1000,1988.549601
-58.87791,1000,1990.293554
-58.241745,1000,2468.638789
-57.666763,1000,2470.39769
-53.970142,1000,2472.155795
-55.438194,1000,2473.9134
-61.89286,1000,2475.673382
-54.23757,1000,2477.432509
-58.683186,1000,2479.188631
-58.951344,1000,2480.950827
-58.79066,1000,2482.706007
-58.07807,1000,2484.459599
3
-184.42378,1000,121.289127
-183.02321,1000,121.289138
-179.0269,1000,121.289148
-181.79402,1000,121.29007
-174.49805,1000,140.41628
-173.58478,1000,140.416419
-178.4348,1000,140.416442
-178.63103,1000,140.416454
-180.8934,1000,140.416465
-177.99059,1000,140.416478
-179.1853,1000,140.416492
-175.332,1000,140.416502
-179.26578,1000,159.455918
-169.47772,1000,159.456006
-168.30006,1000,159.456026
-166.79204,1000,159.456039
-171.01738,1000,159.456052
-169.3804,1000,159.456066
-177.14365,1000,159.456077
-170.83742,1000,159.456087
-164.27504,1000,178.479687
-155.85017,1000,178.479777
-156.9288,1000,178.479798
-166.29152,1000,178.47981
-158.68713,1000,178.479821
-160.21056,1000,178.479831
-174.14545,1000,178.479841
-156.11395,1000,178.479854
-150.02881,1000,197.517738
-148.47672,1000,197.519757
-150.2324,1000,197.519948
-165.42183,1000,197.520909
-148.03894,1000,197.520946
-149.98834,1000,197.520961
-158.00984,1000,197.521945
-156.479,1000,197.52196
-133.2418,1000,216.563911
-133.351,1000,216.565834
-126.69467,1000,216.566013
-128.96037,1000,216.566966
-136.68307,1000,216.567008
-133.74191,1000,216.567022
-132.17664,1000,216.568022
-137.07405,1000,216.56804
-121.62721,1000,235.610527
-122.80305,1000,235.612611
-113.975365,1000,235.612799
-121.8473,1000,235.613742
-115.28633,1000,235.61378
-114.17111,1000,235.613795
-122.6703,1000,235.613809
-117.41297,1000,235.614769
-102.36223,1000,254.640839
-105.81839,1000,254.640945
-102.670876,1000,254.640974
-104.90902,1000,254.640987
-101.74484,1000,254.640998
-105.62622,1000,254.641008
-108.367065,1000,254.641021
-104.29622,1000,254.641035
-94.5069,1000,273.574356
-97.174225,1000,273.574428
-92.09719,1000,273.574449
-93.74302,1000,273.574462
-95.79625,1000,273.574472
-93.51518,1000,273.574482
-94.9225,1000,273.574492
-92.37397,1000,273.574502
-87.77676,1000,292.591079
-85.84497,1000,292.591181
-86.41704,1000,292.591216
-86.08124,1000,292.591232
-88.026184,1000,292.591243
-87.21106,1000,292.591253
-87.82226,1000,292.591262
-88.89561,1000,292.591272
-83.21034,1000,311.735029
-84.32037,1000,311.735116
-82.94289,1000,311.735135
-82.470215,1000,311.735146
-84.1132,1000,311.735159
-83.85255,1000,311.735173
-84.42214,1000,311.735193
-83.753075,1000,311.735204
-77.17085,1000,330.798989
-80.69039,1000,330.801026
-78.304306,1000,330.80111
-76.05898,1000,330.801129
-79.16967,1000,330.801144
-78.23425,1000,330.801155
-77.29958,1000,330.801165
-77.85643,1000,330.801175
-74.97515,1000,349.897131
-72.63994,1000,349.89722
-72.87441,1000,349.897241
-75.1221,1000,349.897253
-73.551346,1000,349.897264
-73.161026,1000,349.897285
-74.6126,1000,349.897295
-73.035355,1000,349.897305
-74.15151,1000,369.133574
-71.375084,1000,369.133644
-70.284195,1000,369.133662
-70.87312,1000,369.133673
-73.33373,1000,369.133686
-72.44375,1000,369.1337
-72.82402,1000,369.133711
-70.98381,1000,369.133721
-66.43596,1000,388.3932
-67.46901,1000,388.393269
-70.80465,1000,388.393288
-69.7718,1000,388.3933
-70.238884,1000,388.393311
-70.14322,1000,388.393321
-68.10666,1000,388.393332
-70.79251,1000,388.393342
-64.570915,1000,407.53859
-68.43728,1000,407.538663
-67.21552,1000,407.53868
-66.89505,1000,407.538691
-69.19036,1000,407.538702
-67.6083,1000,407.538712
-68.614975,1000,407.538724
-68.14948,1000,407.538738
-68.02395,1000,426.639051
-65.308685,1000,426.639127
-66.40137,1000,426.639146
-65.38189,1000,426.639158
-69.39782,1000,426.639181
-67.02591,1000,426.639196
-67.00222,1000,426.639206
-66.97713,1000,426.639215
-66.08498,1000,445.783144
-64.172775,1000,445.785124
-66.80681,1000,445.7852
-63.131893,1000,445.78522
-68.07633,1000,445.785234
-63.02718,1000,445.785245
-64.96739,1000,445.785255
-66.41464,1000,445.786241
-66.463394,1000,464.920405
-65.15653,1000,464.922386
-66.47543,1000,464.922453
-63.41177,1000,464.922471
-67.587975,1000,464.922482
-64.90877,1000,464.922492
-63.54875,1000,464.922502
-66.426186,1000,464.922511
-66.39328,1000,501.85277
-65.159004,1000,501.85286
-65.85227,1000,501.852895
-65.28008,1000,501.852909
-62.19042,1000,501.85292
-63.755066,1000,501.852932
-64.13975,1000,501.852946
-62.81356,1000,501.852957
-61.542362,1000,520.99059
-63.957882,1000,520.990659
-65.12305,1000,520.990677
-66.6959,1000,520.990689
-65.0214,1000,520.990705
-63.838573,1000,520.990717
-64.82254,1000,520.990731
-65.3671,1000,520.990741
-64.23936,1000,540.134277
-66.41767,1000,540.136434
-62.484447,1000,540.136522
-64.11113,1000,540.13654
-65.393166,1000,540.136552
-63.81912,1000,540.136562
-65.80693,1000,540.136572
-64.46909,1000,540.136583
-62.017456,1000,559.332486
-65.70039,1000,559.332583
-62.393402,1000,559.332603
-62.441357,1000,559.332614
-64.7268,1000,559.332624
-65.48203,1000,559.332635
-61.98363,1000,559.332644
-64.38873,1000,559.332656
-64.07464,1000,578.510344
-65.28475,1000,578.510444
-63.98875,1000,578.510467
-63.0302,1000,578.510479
-62.43924,1000,578.510491
-64.29208,1000,578.510506
-64.13713,1000,578.510516
-61.601284,1000,578.510526
-63.42933,1000,597.657822
-64.682175,1000,597.657937
-64.91639,1000,597.657958
-63.069542,1000,597.65797
-64.259155,1000,597.657981
-64.092445,1000,597.657993
-61.887455,1000,597.658006
-65.45546,1000,597.65802
-64.34577,1000,616.746075
-61.110806,1000,616.746158
-65.10901,1000,616.74618
-61.744564,1000,616.746192
-64.75937,1000,616.746203
-64.44405,1000,616.746212
-62.406513,1000,616.746222
-62.088184,1000,616.746232
-61.911884,1000,635.878981
-64.96654,1000,635.879054
-63.87937,1000,635.879073
-62.86844,1000,635.879089
-65.056175,1000,635.8791
-64.36205,1000,635.879111
-62.61243,1000,635.879121
-64.49798,1000,635.87913
-62.86942,1000,655.221501
-64.065865,1000,655.221582
-64.26387,1000,655.221604
-62.1472,1000,655.221619
-64.86385,1000,655.221635
-61.90995,1000,655.221649
-63.113564,1000,655.221664
-65.31289,1000,655.221681
-62.735687,1000,674.511805
-62.354477,1000,674.511873
-62.45267,1000,674.51191
-63.612106,1000,674.511923
-63.064518,1000,674.511934
-63.01295,1000,674.511944
-63.66648,1000,674.511954
-63.8724,1000,674.511966
-64.03368,1000,693.604531
-64.09854,1000,693.604603
-63.09774,1000,693.604621
-62.789143,1000,693.604635
-63.014282,1000,693.60465
-62.87524,1000,693.604661
-62.977665,1000,693.604672
-64.278145,1000,693.604682
-62.70343,1000,712.664207
-63.246315,1000,712.664283
-63.592026,1000,712.664305
-64.316986,1000,712.664317
-63.28155,1000,712.664328
-63.11604,1000,712.664338
-63.807827,1000,712.664347
-63.843487,1000,712.664357
-63.769295,1000,731.743751
-63.029022,1000,731.743822
-64.04028,1000,731.74384
-62.79209,1000,731.743851
-63.90531,1000,731.743871
-63.868088,1000,731.743901
-63.886414,1000,731.743912
-63.210815,1000,731.743921
-63.0729,1000,751.343618
-63.743614,1000,751.34369
-63.886497,1000,751.343712
-63.642803,1000,751.343724
-63.064987,1000,751.343735
-62.923668,1000,751.343745
-63.902756,1000,751.343755
-62.80427,1000,751.343765
-63.34289,1000,771.02897
-63.035564,1000,771.029054
-63.355335,1000,771.029075
-62.603127,1000,771.029087
-63.40464,1000,771.029098
-63.121025,1000,771.029108
-63.270687,1000,771.029118
-62.58588,1000,771.029136
-63.30903,1000,790.167619
-62.879784,1000,790.167693
-62.36322,1000,790.167715
-64.20719,1000,790.167727
-62.68171,1000,790.167738
-63.814095,1000,790.167747
-64.56275,1000,790.167758
-63.366024,1000,790.167767
-63.612186,1000,809.288644
-63.80112,1000,809.288748
-63.991447,1000,809.28877
-62.05929,1000,809.288782
-62.71202,1000,809.288793
-63.71196,1000,809.288805
-63.584694,1000,809.288815
-63.543457,1000,809.288827
-62.559616,1000,828.433799
-62.42782,1000,828.433894
-63.539974,1000,828.433915
-62.502052,1000,828.433932
-62.925896,1000,828.433944
-63.051243,1000,828.433955
-64.37408,1000,828.433965
-63.284054,1000,828.433975
-62.898525,1000,847.565898
-63.72314,1000,847.565982
-62.894527,1000,847.566
-62.714455,1000,847.566015
-63.01964,1000,847.566029
-63.481857,1000,847.56604
-63.10036,1000,847.56605
-63.127758,1000,847.56606
-63.080097,1000,866.748345
-63.558125,1000,866.748415
-62.52697,1000,866.748435
-62.94077,1000,866.748447
-63.61369,1000,866.748458
-63.493042,1000,866.748467
-62.66211,1000,866.748477
-62.818966,1000,866.748487
-62.702393,1000,885.849838
-63.201912,1000,885.849953
-62.615192,1000,885.849973
-63.506054,1000,885.849986
-62.59636,1000,885.849998
-63.284866,1000,885.850012
-62.39525,1000,885.850023
-63.42074,1000,885.850033
-63.10194,1000,904.960364
-62.946636,1000,904.960432
-63.56603,1000,904.960453
-61.93508,1000,904.960465
-63.499336,1000,904.960476
-62.87339,1000,904.960486
-61.852764,1000,904.960496
-63.176304,1000,904.960505
-63.36042,1000,924.045718
-62.975975,1000,924.045796
-63.0556,1000,924.045814
-62.422382,1000,924.045828
-63.02893,1000,924.045843
-62.830032,1000,924.045853
-63.16562,1000,924.045864
-63.069687,1000,924.045873
-63.228508,1000,943.448679
-62.85176,1000,943.448758
-62.831146,1000,943.44878
-62.668957,1000,943.448792
-63.11477,1000,943.448803
-62.480095,1000,943.448813
-63.546307,1000,943.448823
-62.58655,1000,943.448833
-62.691917,1000,962.588656
-63.28975,1000,962.588737
-63.40462,1000,962.588755
-61.998173,1000,962.588769
-63.265522,1000,962.588784
-63.1402,1000,962.588794
-62.928337,1000,962.588804
-62.614372,1000,962.588813
-63.270206,1000,999.47673
-63.233086,1000,999.476819
-62.975365,1000,999.47684
-63.117157,1000,999.476855
-63.121372,1000,999.476867
-62.458187,1000,999.476877
-62.306896,1000,999.476903
-62.42616,1000,999.476913
-63.343197,1000,1018.585332
-62.411224,1000,1018.585403
-62.44635,1000,1018.585422
-62.782204,1000,1018.585433
-63.065086,1000,1018.585444
-62.80668,1000,1018.585454
-63.203884,1000,1018.585464
-63.504395,1000,1018.585477
-62.870117,1000,1037.730104
-62.894512,1000,1037.73023
-62.919327,1000,1037.730251
-62.724106,1000,1037.730263
-63.14937,1000,1037.730274
-63.23896,1000,1037.730285
-62.591576,1000,1037.730294
-62.616604,1000,1037.730309
-62.740635,1000,1056.885047
-62.80337,1000,1056.885168
-62.574665,1000,1056.885198
-62.88988,1000,1056.88522
-62.370316,1000,1056.885236
-62.395893,1000,1056.885251
-63.231018,1000,1056.885269
-63.056953,1000,1056.886365
-62.865887,1000,1075.980827
-63.032524,1000,1075.980912
-63.114258,1000,1075.980934
-62.72681,1000,1075.980946
-62.822296,1000,1075.980957
-62.97143,1000,1075.980967
-63.033302,1000,1075.980977
-63.21769,1000,1075.980986
-63.073734,1000,1095.146476
-62.61222,1000,1095.146572
-63.298534,1000,1095.146592
-62.851665,1000,1095.146604
-63.043182,1000,1095.146616
-63.45697,1000,1095.146626
-62.638752,1000,1095.146641
-63.337383,1000,1095.146662
-62.67286,1000,1114.194413
-62.754524,1000,1114.194485
-62.790913,1000,1114.194504
-62.439102,1000,1114.194516
-63.250427,1000,1114.194526
-62.981236,1000,1114.194539
-62.611908,1000,1114.194553
-62.745422,1000,1114.194564
-63.0619,1000,1133.235802
-63.134106,1000,1133.235869
-62.91373,1000,1133.235901
-62.369907,1000,1133.235913
-62.937885,1000,1133.235924
-62.85666,1000,1133.235936
-63.096584,1000,1133.23595
-63.182346,1000,1133.23596
-62.632744,1000,1152.310075
-63.103504,1000,1152.310164
-62.892956,1000,1152.310185
-62.30964,1000,1152.310197
-62.759186,1000,1152.310208
-62.744835,1000,1152.310218
-62.456272,1000,1152.310227
-63.381706,1000,1152.31024
-62.5548,1000,1171.363062
-62.791985,1000,1171.363141
-62.78667,1000,1171.363163
-61.95573,1000,1171.363175
-62.887383,1000,1171.363186
-62.974747,1000,1171.363195
-62.900017,1000,1171.363205
-63.213623,1000,1171.363214
-62.945747,1000,1190.396867
-62.82467,1000,1190.396953
-62.60759,1000,1190.396973
-62.997868,1000,1190.396985
-62.825874,1000,1190.396996
-62.559093,1000,1190.397006
-63.052776,1000,1190.397016
-62.022358,1000,1190.397025
-62.77247,1000,1209.349039
-62.428997,1000,1209.349109
-62.48437,1000,1209.349138
-62.829254,1000,1209.349154
-62.913467,1000,1209.349165
-63.126637,1000,1209.349175
-62.57593,1000,1209.349185
-63.058044,1000,1209.349194
-62.748444,1000,1228.454484
-62.80669,1000,1228.454557
-62.717464,1000,1228.454578
-63.200977,1000,1228.454591
-63.186474,1000,1228.454602
-62.85287,1000,1228.454612
-62.856495,1000,1228.454621
-62.261505,1000,1228.454631
-62.664513,1000,1247.396584
-62.8516,1000,1247.396658
-62.9563,1000,1247.396676
-62.959778,1000,1247.39669
-62.900227,1000,1247.396705
-62.756706,1000,1247.396716
-63.37384,1000,1247.396726
-62.45737,1000,1247.396736
-62.85975,1000,1266.445028
-63.218544,1000,1266.445101
-63.150913,1000,1266.44512
-62.092186,1000,1266.44514
-62.923676,1000,1266.445154
-62.846035,1000,1266.445168
-62.325237,1000,1266.445179
-62.844715,1000,1266.445189
-62.766422,1000,1285.489287
-62.916965,1000,1285.489361
-62.97036,1000,1285.489383
-63.046963,1000,1285.489397
-62.858105,1000,1285.489408
-62.40646,1000,1285.489418
-62.551846,1000,1285.489428
-63.261448,1000,1285.489437
-62.418533,1000,1304.362713
-63.21041,1000,1304.362781
-62.827637,1000,1304.362799
-62.719376,1000,1304.362815
-62.953365,1000,1304.362826
-62.231407,1000,1304.362836
-63.286896,1000,1304.362846
-63.494297,1000,1304.362856
-63.02889,1000,1323.895304
-62.476173,1000,1323.895393
-62.77096,1000,1323.895413
-63.482708,1000,1323.895425
-62.461395,1000,1323.895436
-62.723248,1000,1323.895446
-62.65493,1000,1323.895455
-63.10115,1000,1323.895467
-62.623775,1000,1343.070565
-62.56964,1000,1343.070633
-63.039917,1000,1343.070651
-62.517128,1000,1343.070667
-62.66729,1000,1343.070678
-63.00441,1000,1343.070694
-63.363804,1000,1343.070704
-63.153873,1000,1343.070715
-62.29846,1000,1363.19341
-62.32676,1000,1363.193527
-62.926003,1000,1363.193551
-62.559666,1000,1363.193568
-62.894753,1000,1363.193583
-62.393005,1000,1363.193602
-62.275772,1000,1363.193616
-63.187405,1000,1363.19363
-63.126804,1000,1382.696334
-63.270477,1000,1382.696424
-63.039925,1000,1382.696443
-62.420113,1000,1382.696455
-62.24564,1000,1382.696467
-63.26884,1000,1382.696482
-62.886536,1000,1382.696492
-62.717476,1000,1382.696502
-62.647438,1000,1402.615696
-62.820477,1000,1402.615768
-62.87745,1000,1402.615791
-63.272995,1000,1402.615809
-62.61251,1000,1402.615829
-62.43685,1000,1402.615843
-62.600517,1000,1402.615856
-62.934376,1000,1402.61587
-62.502438,1000,1421.868795
-62.588715,1000,1421.868895
-62.77769,1000,1421.868918
-63.254147,1000,1421.868931
-63.24077,1000,1421.868941
-62.862804,1000,1421.868951
-61.94469,1000,1421.868961
-63.133327,1000,1421.868972
-62.478596,1000,1441.639248
-62.860172,1000,1441.639357
-62.651096,1000,1441.639376
-63.267757,1000,1441.639388
-62.75634,1000,1441.639398
-62.8774,1000,1441.639411
-62.615356,1000,1441.639424
-62.76886,1000,1441.639446
-62.945454,1000,1460.917459
-62.603714,1000,1460.917557
-62.704845,1000,1460.917579
-62.158558,1000,1460.917594
-62.497524,1000,1460.917606
-62.329063,1000,1460.91762
-62.360603,1000,1460.917631
-63.43138,1000,1460.917641
-62.773106,1000,1497.879229
-62.976078,1000,1497.879354
-62.68938,1000,1497.879374
-62.687435,1000,1497.879386
-62.45253,1000,1497.879397
-63.0687,1000,1497.87941
-62.8203,1000,1497.879428
-62.908833,1000,1497.879438
-62.972885,1000,1517.017683
-63.00314,1000,1517.017756
-63.072853,1000,1517.017776
-62.474007,1000,1517.017792
-63.04688,1000,1517.017803
-62.727978,1000,1517.017813
-62.69924,1000,1517.017823
-63.01041,1000,1517.017833
-63.17428,1000,1537.100937
-63.290375,1000,1537.101029
-63.092827,1000,1537.101051
-62.93734,1000,1537.101064
-63.012684,1000,1537.101074
-62.580406,1000,1537.101084
-63.387115,1000,1537.101094
-62.991196,1000,1537.101104
-62.962788,1000,1557.143826
-62.980705,1000,1557.143966
-63.03967,1000,1557.143991
-62.39939,1000,1557.144007
-62.873463,1000,1557.144028
-62.415092,1000,1557.144043
-62.8331,1000,1557.144057
-63.453186,1000,1557.144071
-62.981895,1000,1577.748213
-63.03778,1000,1577.748315
-62.827957,1000,1577.748338
-62.898834,1000,1577.748353
-63.229156,1000,1577.748369
-62.326748,1000,1577.748392
-62.575638,1000,1577.748407
-63.413853,1000,1577.748421
-62.89648,1000,1597.512183
-62.152584,1000,1597.512256
-63.001698,1000,1597.512275
-62.958008,1000,1597.512286
-62.744366,1000,1597.512297
-63.238323,1000,1597.512307
-63.350056,1000,1597.512317
-62.818336,1000,1597.512329
-63.159245,1000,1617.246821
-62.519318,1000,1617.246912
-63.159363,1000,1617.246934
-62.443466,1000,1617.246947
-62.931614,1000,1617.246958
-62.708416,1000,1617.246968
-63.25613,1000,1617.246979
-62.6953,1000,1617.246993
-62.75274,1000,1637.233894
-62.748074,1000,1637.235941
-62.66735,1000,1637.236017
-63.03753,1000,1637.236034
-63.138332,1000,1637.236046
-62.71823,1000,1637.236056
-62.490482,1000,1637.236065
-62.91324,1000,1637.236075
-63.15488,1000,1656.505524
-62.473087,1000,1656.505605
-62.984642,1000,1656.505627
-63.51833,1000,1656.505646
-63.06785,1000,1656.50566
-62.574566,1000,1656.505675
-62.622948,1000,1656.50569
-62.576557,1000,1656.505704
-62.949192,1000,1676.940516
-62.641014,1000,1676.940602
-62.26292,1000,1676.940623
-62.81935,1000,1676.940651
-63.16526,1000,1676.940686
-62.890247,1000,1676.940714
-62.702118,1000,1676.940748
-63.03237,1000,1676.940769
-62.5652,1000,1697.650621
-62.747208,1000,1697.650694
-62.33633,1000,1697.650715
-62.46285,1000,1697.650728
-62.169216,1000,1697.650739
-62.754707,1000,1697.650749
-61.841953,1000,1697.650759
-62.660763,1000,1697.650768
-62.7985,1000,1718.558488
-62.802425,1000,1718.558557
-62.764782,1000,1718.558575
-62.56171,1000,1718.558587
-62.79237,1000,1718.558597
-63.032345,1000,1718.558609
-62.530033,1000,1718.558624
-62.977722,1000,1718.558634
-62.747257,1000,1738.972052
-63.071835,1000,1738.972142
-62.91579,1000,1738.972171
-62.642986,1000,1738.972183
-63.09487,1000,1738.972194
-62.639996,1000,1738.972204
-62.954296,1000,1738.972213
-62.97515,1000,1738.972225
-62.612423,1000,1760.185043
-63.36026,1000,1760.185117
-62.739822,1000,1760.185137
-63.04828,1000,1760.185161
-62.946945,1000,1760.185173
-62.935215,1000,1760.185183
-63.255054,1000,1760.185192
-63.060783,1000,1760.185202
-62.324142,1000,1780.58809
-62.723415,1000,1780.588166
-62.574265,1000,1780.588185
-63.209667,1000,1780.588197
-62.862812,1000,1780.588207
-63.429108,1000,1780.588218
-62.644672,1000,1780.588228
-62.831898,1000,1780.58824
-63.044563,1000,1800.40273
-62.45743,1000,1800.402816
-62.908813,1000,1800.402837
-63.270477,1000,1800.402849
-62.69724,1000,1800.402859
-62.72953,1000,1800.402869
-62.616222,1000,1800.402895
-62.541588,1000,1800.402911
-63.568314,1000,1821.435848
-62.483105,1000,1821.435976
-62.65179,1000,1821.435996
-63.481735,1000,1821.436008
-62.399498,1000,1821.43602
-62.842728,1000,1821.436033
-62.873848,1000,1821.436056
-62.731068,1000,1821.436068
-62.680702,1000,1841.857174
-63.196968,1000,1841.857257
-62.906628,1000,1841.857279
-62.936592,1000,1841.857297
-62.982204,1000,1841.857312
-62.84646,1000,1841.857327
-63.241596,1000,1841.857341
-62.894623,1000,1841.857355
-62.427822,1000,1861.30022
-63.09739,1000,1861.300294
-62.85151,1000,1861.300312
-63.19904,1000,1861.300325
-62.79931,1000,1861.300339
-62.65487,1000,1861.30035
-62.86798,1000,1861.30036
-62.88452,1000,1861.30037
-63.241283,1000,1880.42899
-63.092804,1000,1880.430937
-62.73559,1000,1880.431016
-62.839012,1000,1880.431035
-62.922955,1000,1880.431047
-62.741623,1000,1880.431059
-62.841812,1000,1880.431957
-62.731052,1000,1880.431969
-63.19368,1000,1899.511873
-62.824986,1000,1899.511963
-62.963352,1000,1899.511984
-63.612427,1000,1899.511996
-62.39035,1000,1899.512007
-62.95101,1000,1899.512018
-63.323082,1000,1899.512027
-62.823006,1000,1899.512039
-62.803562,1000,1918.690829
-63.053135,1000,1918.690938
-62.45182,1000,1918.690959
-62.97744,1000,1918.690971
-62.83657,1000,1918.690984
-62.179188,1000,1918.690999
-63.10333,1000,1918.69101
-62.35283,1000,1918.69102
-62.990192,1000,1937.8889
-62.374943,1000,1937.890921
-62.994003,1000,1937.89099
-62.262413,1000,1937.89101
-62.88348,1000,1937.891024
-62.88325,1000,1937.891035
-63.330948,1000,1937.891045
-63.059765,1000,1937.891055
-62.879143,1000,1956.926356
-63.418148,1000,1956.926428
-62.7419,1000,1956.926449
-63.02633,1000,1956.926461
-62.69566,1000,1956.926471
-63.251923,1000,1956.92648
-62.706806,1000,1956.92649
-62.913036,1000,1956.9265
-62.279232,1000,1975.971531
-62.802547,1000,1975.971604
-62.842182,1000,1975.971625
-62.470848,1000,1975.971638
-62.79018,1000,1975.971648
-62.534645,1000,1975.971659
-62.53793,1000,1975.971669
-62.934704,1000,1975.971679
-63.03316,1000,2012.702369
-62.5495,1000,2012.702454
-63.28024,1000,2012.702473
-62.61959,1000,2012.702484
-62.574406,1000,2012.702498
-62.516174,1000,2012.702512
-62.531483,1000,2012.702523
-62.72543,1000,2012.702533
-62.69574,1000,2031.779245
-63.15413,1000,2031.779313
-62.815018,1000,2031.779334
-62.94631,1000,2031.779347
-62.259518,1000,2031.779357
-62.689644,1000,2031.779368
-63.482628,1000,2031.779377
-62.895473,1000,2031.779387
-62.614895,1000,2050.857917
-63.130077,1000,2050.857984
-62.789078,1000,2050.858003
-62.600456,1000,2050.858019
-62.526054,1000,2050.85803
-62.828503,1000,2050.85804
-63.031746,1000,2050.858051
-63.278378,1000,2050.858061
-62.774803,1000,2069.981587
-62.73294,1000,2069.981658
-62.335987,1000,2069.981679
-63.409832,1000,2069.981691
-62.83205,1000,2069.981702
-63.02316,1000,2069.981712
-62.7345,1000,2069.981721
-62.378284,1000,2069.981731
-62.94698,1000,2089.212433
-63.08028,1000,2089.212508
-62.678104,1000,2089.212539
-62.966545,1000,2089.212557
-62.65048,1000,2089.212571
-62.630016,1000,2089.212586
-62.18091,1000,2089.2126
-62.530106,1000,2089.212617
-62.544247,1000,2108.328753
-62.285503,1000,2108.328832
-63.014343,1000,2108.328852
-63.38408,1000,2108.328864
-62.477966,1000,2108.328875
-62.829998,1000,2108.3289
-62.38964,1000,2108.328912
-62.799004,1000,2108.328926
-62.388317,1000,2127.30375
-62.784164,1000,2127.303823
-62.986744,1000,2127.303844
-62.931377,1000,2127.30386
-62.730045,1000,2127.303871
-63.387997,1000,2127.303927
-63.246525,1000,2127.30394
-62.81365,1000,2127.303952
-62.358418,1000,2146.353993
-62.981003,1000,2146.354061
-62.752377,1000,2146.354079
-62.775917,1000,2146.354095
-62.716507,1000,2146.354107
-62.904324,1000,2146.354116
-63.536083,1000,2146.354126
-62.76033,1000,2146.354136
-62.450386,1000,2165.414639
-63.088337,1000,2165.416657
-62.293728,1000,2165.416858
-62.52774,1000,2165.417837
-62.87175,1000,2165.417876
-62.42696,1000,2165.417901
-62.982704,1000,2165.417912
-62.68054,1000,2165.417925
-62.768177,1000,2184.611096
-62.775295,1000,2184.611176
-62.62527,1000,2184.611194
-62.976604,1000,2184.611205
-62.946278,1000,2184.611216
-62.689167,1000,2184.611227
-62.672817,1000,2184.611246
-62.39426,1000,2184.611259
-62.351982,1000,2203.75265
-62.52233,1000,2203.752722
-62.30409,1000,2203.752742
-63.22472,1000,2203.752753
-62.522533,1000,2203.752763
-62.88107,1000,2203.752774
-63.286472,1000,2203.752786
-62.669575,1000,2203.7528
-62.646038,1000,2222.862425
-62.86884,1000,2222.862514
-62.28993,1000,2222.862534
-62.49705,1000,2222.862546
-62.454525,1000,2222.862557
-62.24767,1000,2222.86257
-62.69317,1000,2222.862583
-62.372646,1000,2222.862593
-62.93491,1000,2241.926916
-62.69501,1000,2241.926994
-62.464718,1000,2241.927011
-63.015835,1000,2241.927023
-62.240784,1000,2241.927037
-62.3489,1000,2241.927051
-62.80124,1000,2241.927061
-62.80498,1000,2241.92707
-62.644997,1000,2260.876418
-62.612232,1000,2260.876505
-63.021374,1000,2260.876524
-62.75181,1000,2260.876536
-62.760902,1000,2260.876547
-63.06791,1000,2260.876557
-62.493847,1000,2260.876566
-62.366924,1000,2260.876578
-62.403744,1000,2279.920699
-62.970524,1000,2279.920773
-63.205833,1000,2279.92079
-62.591698,1000,2279.920804
-62.798927,1000,2279.920818
-62.9749,1000,2279.92083
-62.94085,1000,2279.92084
-62.549644,1000,2279.92085
-63.224655,1000,2298.955022
-62.307457,1000,2298.955091
-63.000908,1000,2298.955108
-62.73102,1000,2298.95512
-62.243702,1000,2298.955131
-62.45945,1000,2298.955141
