#{"t_start": 1750869218.1091702, "env_id": "None"}
r,l,t
258.04517,300,121.619095
280.30493,300,122.108988
192.90189,300,122.598201
267.55466,300,123.088241
291.13336,300,123.577849
,300,11.105697
277.1225,300,11.105715
265.23218,300,11.105726
169.60648,300,12.120041
164.34283,300,12.120135
308.96082,300,12.120153
242.5137,300,12.120164
208.08199,300,13.142026
253.17075,300,13.142097
228.97627,300,13.142115
206.77878,300,13.142127
273.63043,300,14.157017
214.36427,300,14.157089
192.24995,300,14.157105
233.56818,300,14.157115
245.3859,300,15.17943
289.84604,300,15.179505
203.64534,300,15.179523
323.53458,300,15.179534
188.05997,300,16.197691
240.98094,300,16.197766
185.5135,300,16.197786
175.45877,300,16.197798
231.82167,300,17.208657
198.6098,300,17.208727
359.6051,300,17.208742
389.05026,300,17.208753
195.73257,300,28.892297
177.39622,300,28.892426
255.43088,300,28.89245
253.80699,300,28.892468
323.87585,300,42.304801
184.80936,300,42.30493
176.30879,300,42.304953
175.44359,300,42.304964
238.39342,300,55.508119
310.5313,300,55.508198
200.2181,300,55.508217
239.22926,300,55.508228
159.26918,300,68.678789
314.68665,300,68.67887
248.06943,300,68.67889
184.74266,300,68.678917
201.0342,300,81.788062
195.15155,300,81.788141
296.36374,300,81.78816
229.92053,300,81.788172
274.3562,300,94.98605
192.98433,300,94.986131
314.8671,300,94.986151
365.175,300,94.986162
190.24178,300,108.141451
167.20358,300,108.14156
215.8807,300,108.141579
237.5431,300,108.14159
216.87492,300,121.25757
243.14058,300,121.257646
176.83076,300,121.257662
208.41711,300,121.257672
