#{"t_start": 1750876477.8128698, "env_id": "None"}
r,l,t
-51.730152,500,64.635182
-51.76072,500,65.504532
-56.860165,500,66.372521
-63.75101,500,67.245845
-55.444195,500,68.1169
-47.941658,500,137.858624
-44.195595,500,138.857956
-58.428444,500,139.850626
-46.201626,500,140.845654
-48.4593,500,141.837106
-59.66838,500,213.27217
-48.100758,500,214.137717
-55.358017,500,215.004954
-56.502018,500,215.870259
-61.411873,500,216.733599
-82.05777,500,284.681641
-67.49514,500,285.554176
-66.92192,500,286.428863
-78.33978,500,287.299702
-65.35385,500,288.170897
-64.804756,500,355.983103
-61.12277,500,356.856794
-60.051357,500,357.726755
-50.668213,500,358.605314
-53.121845,500,359.478039
-59.432255,500,427.444087
-49.363724,500,428.314547
-52.024937,500,429.186498
-55.638226,500,430.059964
-62.424683,500,430.930943
-44.733456,500,498.722972
-43.907894,500,499.596728
-44.132687,500,500.467522
-44.41951,500,501.343802
-43.97598,500,502.219238
-39.5551,500,569.899588
-40.146572,500,570.776514
-43.426838,500,571.652217
-40.61235,500,572.526366
-42.365356,500,573.401076
-40.736217,500,641.255504
-43.518192,500,642.139262
-40.997654,500,643.011403
-40.651268,500,643.882342
-40.862343,500,644.757043
-41.014168,500,712.846904
-40.84602,500,713.72118
-40.864807,500,714.593565
-39.331913,500,715.465109
-44.360653,500,716.330931
-40.47563,500,784.215126
-40.130375,500,785.090564
-39.967396,500,785.968409
-40.01483,500,786.842535
-40.456337,500,787.712321
-40.97224,500,855.633715
-40.765694,500,856.509934
-39.7274,500,857.385775
-41.060062,500,858.262699
-40.553417,500,859.136915
-41.578217,500,927.10528
-40.348904,500,927.984187
-39.581745,500,928.862257
-38.869083,500,929.747668
-41.435436,500,930.64911
-39.977016,500,998.500186
-40.54514,500,999.368311
-40.093876,500,1000.232378
-40.57147,500,1001.09365
-40.03468,500,1001.956664
-40.570095,500,1069.473079
-40.65263,500,1070.337808
-40.643406,500,1071.207079
-39.675285,500,1072.07258
-40.496693,500,1072.937487
-41.186302,500,1140.972471
-40.153934,500,1141.965877
-41.152065,500,1142.856827
-40.78641,500,1143.720717
-38.922928,500,1144.581583
-40.18089,500,1212.37261
-40.035168,500,1213.245949
-41.23724,500,1214.114323
-39.755184,500,1214.985741
-40.74781,500,1215.855643
-39.899914,500,1283.825224
-40.48289,500,1284.683239
-41.622093,500,1285.541811
-40.366455,500,1286.406366
-41.529655,500,1287.277759
-40.549335,500,1355.101837
-40.80363,500,1355.976007
-41.093792,500,1356.844632
-40.351006,500,1357.714025
-40.386616,500,1358.584093
-40.310295,500,1426.260119
-40.349056,500,1427.14309
-41.20751,500,1428.012947
-40.807167,500,1428.881655
-40.324154,500,1429.752475
-39.961514,500,1497.634354
-40.26491,500,1498.508605
-39.95304,500,1499.378036
-40.963776,500,1500.246932
-40.566,500,1501.119876
-40.35094,500,1568.546448
-40.99687,500,1569.404684
-40.57417,500,1570.263457
-40.19096,500,1571.119623
-40.77042,500,1571.978858
-40.37032,500,1639.942839
-40.417633,500,1640.820344
-40.373665,500,1641.69498
-40.574913,500,1642.569142
-40.58354,500,1643.444587
-41.236893,500,1711.002525
-40.67677,500,1711.866818
-40.62949,500,1712.730778
-40.466267,500,1713.596403
-41.234745,500,1714.460228
-41.130836,500,1781.83168
-40.780464,500,1782.68869
-41.48862,500,1783.545182
-41.42259,500,1784.401188
-41.65057,500,1785.255196
4418
-19.657316,500,116.064431
-20.058865,500,119.824095
-19.254238,500,119.824177
-20.010479,500,119.824198
-20.027342,500,119.824216
-19.711569,500,123.615093
-19.627491,500,123.615174
-19.763397,500,123.615198
-20.070395,500,123.615215
-19.7727,500,127.004293
-19.778416,500,127.004365
-19.772354,500,127.004384
-19.771606,500,127.004396
-19.879295,500,130.345898
-19.324902,500,130.345976
-20.063745,500,130.345998
-20.115866,500,130.34601
-19.92127,500,133.720976
-19.958788,500,133.721059
-19.658384,500,133.721081
-20.150232,500,133.721097
-19.709345,500,137.424963
-20.344767,500,137.425049
-19.731804,500,137.425073
-19.53148,500,137.425092
-20.276344,500,141.03809
-20.329353,500,141.038174
-19.768322,500,141.038196
-20.190449,500,141.038212
-19.89167,500,149.702654
-19.633919,500,149.702848
-19.964384,500,149.704683
-19.378983,500,149.705082
-19.691364,500,153.17742
-20.227253,500,153.177549
-19.863173,500,153.177571
-19.961588,500,153.177585
-19.726505,500,156.822709
-20.57574,500,156.822809
-20.014458,500,156.822835
-20.024244,500,156.822851
-20.209944,500,160.539359
-20.178265,500,160.539441
-19.543592,500,160.539459
-20.188715,500,160.539472
-19.753891,500,163.915293
-19.757864,500,163.915378
-20.050177,500,163.915398
-20.233374,500,163.91541
-20.024065,500,167.71946
-20.152664,500,167.719547
-20.163757,500,167.719571
-20.268982,500,167.719589
-19.706184,500,171.497792
-20.228752,500,171.497873
-19.59754,500,171.497896
-20.203844,500,171.497912
-19.637354,500,175.237277
-19.899717,500,175.237348
-19.993517,500,175.23737
-19.956274,500,175.237382
-19.87779,500,178.981626
-20.12428,500,178.981748
-19.797562,500,178.981774
-19.706688,500,178.981791
-19.842094,500,182.419371
-20.011936,500,182.419476
-20.094412,500,182.419498
-19.498785,500,182.41951
-19.81115,500,185.776474
-19.665932,500,185.776545
-20.310324,500,185.776562
-20.064344,500,185.776575
-20.17031,500,189.53473
-20.893726,500,189.534834
-20.132032,500,189.534855
-20.379505,500,189.534867
-20.01896,500,192.99294
-19.65358,500,192.993011
-19.40958,500,192.99303
-19.81509,500,192.993053
-19.703657,500,196.414469
-19.897692,500,196.414545
-19.98248,500,196.414567
-19.43695,500,196.41458
-19.843689,500,199.759162
-19.752401,500,199.759234
-19.094227,500,199.759253
-19.834904,500,199.759267
-19.650143,500,203.127879
-20.566801,500,203.127964
-19.481632,500,203.12799
-19.942762,500,203.128006
-19.928514,500,206.622112
-19.753036,500,206.622284
-19.991627,500,206.622318
-19.686798,500,206.624198
-20.589315,500,209.944268
-19.604847,500,209.944342
-19.654827,500,209.944361
-20.26958,500,209.944372
-19.85125,500,213.264626
-19.714685,500,213.266493
-20.462053,500,213.266565
-19.851107,500,213.266584
-19.672422,500,216.631098
-19.44763,500,216.631171
-20.442019,500,216.631191
-20.226921,500,216.631206
-20.220694,500,224.364362
-19.729425,500,224.364434
-19.715046,500,224.364453
-19.697693,500,224.364468
-19.428234,500,227.72087
-19.93238,500,227.720944
-20.123674,500,227.720963
-20.036573,500,227.720978
-20.14212,500,231.082209
-19.60515,500,231.08228
-19.693867,500,231.082299
-20.305017,500,231.082315
-19.33842,500,234.433565
-20.19554,500,234.43364
-19.569466,500,234.433659
-19.439598,500,234.433674
-19.776417,500,237.787642
-20.250616,500,237.787718
-19.744917,500,237.787754
-19.742535,500,237.787767
-19.125263,500,241.148767
-19.945925,500,241.148839
-19.653725,500,241.14886
-20.17121,500,241.148872
-19.653084,500,244.488285
-20.068348,500,244.48836
-19.51893,500,244.488378
-20.051744,500,244.48839
-20.052109,500,247.835976
-19.538668,500,247.836052
-19.503809,500,247.836073
-20.061798,500,247.836089
-19.044882,500,251.173016
-19.781044,500,251.173137
-19.424305,500,251.173156
-20.055637,500,251.173168
-19.665138,500,254.513026
-19.174187,500,254.513106
-19.898039,500,254.513124
-20.013952,500,254.513136
-20.424685,500,257.861719
-19.622082,500,257.861831
-20.073465,500,257.861856
-19.919384,500,257.861868
-19.33414,500,261.221073
-19.41865,500,261.221247
-19.898542,500,261.221281
-19.100502,500,261.221303
-19.57309,500,264.554293
-19.943722,500,264.554363
-19.944403,500,264.554381
-20.09565,500,264.554392
-19.698774,500,267.886425
-19.863323,500,267.88835
-19.87089,500,267.888546
-20.09164,500,267.889497
-20.372017,500,271.234084
