#{"t_start": 1750701228.3349602, "env_id": "None"}
r,l,t
-30.13336,300,161.781957
-30.131773,300,162.284836
-30.133049,300,162.730624
-30.133064,300,163.196123
-30.13339,300,163.672191
-30.096966,300,371.811092
-30.097141,300,372.326339
-30.095434,300,372.833709
-30.095919,300,373.308798
-30.096779,300,373.803533
-30.10133,300,582.550212
-30.101364,300,582.999385
-30.101206,300,583.478299
-30.101501,300,583.956465
-30.101398,300,584.433379
-30.102856,300,784.798819
-30.103016,300,785.236027
-30.102827,300,785.669132
-30.102922,300,786.101677
-30.102703,300,786.544271
-30.107758,300,998.432935
-30.11002,300,998.960753
-30.109875,300,999.489596
-30.109777,300,1000.027728
-30.11002,300,1000.53851
-30.132963,300,1235.803986
-30.135296,300,1236.31708
-30.134977,300,1236.799699
-30.134476,300,1237.309342
-30.135098,300,1237.838045
-30.149866,300,1456.010525
-30.149763,300,1456.447898
-30.149763,300,1456.901249
-30.149006,300,1457.344093
-30.149725,300,1457.79924
-30.149876,300,1666.363481
-30.1496,300,1666.833204
-30.149963,300,1667.2726
-30.149132,300,1667.717272
-30.149658,300,1668.175891
-30.149738,300,1880.116218
-30.1498,300,1880.55561
-30.149359,300,1881.016073
-30.149347,300,1881.481163
-30.14831,300,1881.952082
-30.149925,300,2093.566433
-30.149628,300,2094.057906
-30.149424,300,2094.524483
-30.149723,300,2095.010372
-30.150017,300,2095.459619
-30.149883,300,2307.512768
-30.14989,300,2307.954694
-30.149643,300,2308.421357
-30.149754,300,2308.90273
-30.149837,300,2309.384438
-30.150013,300,2522.566063
-30.148262,300,2523.056003
-30.149899,300,2523.539252
-30.149818,300,2524.00085
-30.147974,300,2524.474179
-30.14869,300,2736.124065
-30.148958,300,2736.561344
-30.149853,300,2737.026637
-30.149683,300,2737.501256
-30.149984,300,2737.989187
-30.149885,300,2948.793614
-30.149658,300,2949.29801
-30.150038,300,2949.792145
-30.149368,300,2950.271165
-30.149887,300,2950.736865
-30.14964,300,3164.599353
-30.149643,300,3165.06284
-30.149876,300,3165.540079
-30.150076,300,3166.023365
-30.14995,300,3166.542567
-30.149342,300,3378.752742
-30.149797,300,3379.277686
-30.149092,300,3379.759233
-30.148676,300,3380.228039
-30.149673,300,3380.733434
-30.14985,300,3593.414945
-30.149393,300,3593.881259
-30.149408,300,3594.353532
-30.149641,300,3594.825819
-30.149876,300,3595.300677
-30.150005,300,3808.210003
-30.149652,300,3808.710198
-30.149668,300,3809.200079
-30.149666,300,3809.688842
-30.150034,300,3810.17559
-30.149227,300,4046.135671
-30.149557,300,4046.664306
-30.148512,300,4047.197024
-30.14925,300,4047.755069
-30.149372,300,4048.320685
-30.149149,300,4288.961697
-30.148497,300,4289.507106
-30.14928,300,4290.029421
-30.14936,300,4290.534657
-30.149311,300,4291.037669
-30.149168,300,4507.890771
-30.148602,300,4508.321796
-30.149405,300,4508.753762
-30.149134,300,4509.215461
-30.149094,300,4509.664572
-30.149887,300,4727.755944
-30.149609,300,4728.252353
-30.149382,300,4728.781551
-30.149609,300,4729.29212
-30.149725,300,4729.827114
-30.14942,300,4946.639624
-30.149454,300,4947.112053
-30.148186,300,4947.571708
-30.148539,300,4948.043721
-30.149216,300,4948.542976
-30.147232,300,5165.688919
-30.147217,300,5166.159062
-30.145983,300,5166.601262
-30.147161,300,5167.090994
-30.147213,300,5167.594582
-30.149353,300,5383.906311
-30.149311,300,5384.351773
-30.149305,300,5384.812731
-30.149384,300,5385.288973
-30.149246,300,5385.756235
-30.14943,300,5602.943104
-30.149395,300,5603.408389
-30.14937,300,5603.843176
-30.149889,300,5604.283827
-30.14969,300,5604.729008
-30.149616,300,5820.664363
-30.149817,300,5821.110535
-30.149702,300,5821.567472
-30.14975,300,5822.059441
-30.149818,300,5822.546061
-30.149296,300,6035.404938
-30.149931,300,6035.873779
-30.149897,300,6036.347555
-30.147655,300,6036.808892
-30.149082,300,6037.276361
-30.149765,300,6251.194459
-30.149004,300,6251.642595
-30.149246,300,6252.088881
-30.14836,300,6252.532707
-30.149584,300,6252.985318
-30.148571,300,6470.441907
-30.149927,300,6470.881758
-30.149338,300,6471.347314
-30.149961,300,6471.812706
-30.149956,300,6472.277149
-30.14976,300,6687.454519
-30.149614,300,6687.885322
-30.149902,300,6688.32032
-30.149643,300,6688.751369
-30.149809,300,6689.198652
-30.149933,300,6919.670196
-30.149782,300,6920.184355
-30.150057,300,6920.737143
-30.1499,300,6921.247382
-30.150053,300,6921.797292
-30.148735,300,7159.303017
-30.150076,300,7159.870343
-30.150053,300,7160.428633
-30.149895,300,7160.948666
-30.149714,300,7161.483883
-30.149391,300,7384.323833
-30.15004,300,7384.765859
-30.150064,300,7385.197447
-30.148716,300,7385.645971
-30.14961,300,7386.105351
-30.147854,300,7601.483525
-30.149843,300,7601.97367
-30.149952,300,7602.458889
-30.14999,300,7602.926851
-30.149885,300,7603.371889
-30.149258,300,7815.045317
-30.149376,300,7815.529888
-30.149704,300,7816.016921
-30.149786,300,7816.46922
-30.14994,300,7816.942023
-30.149796,300,8028.074818
-30.149843,300,8028.539978
-30.149,300,8029.008752
-30.149935,300,8029.490137
-30.149788,300,8029.999161
-30.148727,300,8246.049881
-30.147821,300,8246.535321
-30.147049,300,8246.993186
-30.147972,300,8247.467584
-30.14866,300,8247.915698
-30.148228,300,8460.571153
-30.149303,300,8461.056036
-30.149584,300,8461.495748
-30.149843,300,8461.94937
-30.14934,300,8462.383981
-30.14822,300,8676.383095
-30.14927,300,8676.879721
-30.149176,300,8677.376265
-30.14893,300,8677.822634
-30.14908,300,8678.283446
-30.147982,300,8892.682633
-30.148945,300,8893.172407
-30.148783,300,8893.635669
-30.148844,300,8894.105276
-30.148258,300,8894.553793
-30.149435,300,9109.826527
-30.149181,300,9110.295427
-30.14832,300,9110.777403
-30.148737,300,9111.215324
-30.149282,300,9111.657229
-30.147873,300,9311.828864
-30.14582,300,9312.270782
-30.14786,300,9312.719255
-30.146997,300,9313.168701
-30.147589,300,9313.613002
-30.144289,300,9511.749661
-30.14558,300,9512.187289
-30.14357,300,9512.653431
-30.144836,300,9513.129535
-30.145428,300,9513.594887
-30.149002,300,9713.000807
-30.148697,300,9713.432696
-30.149271,300,9713.869451
-30.149115,300,9714.331714
-30.14841,300,9714.779818
-30.148972,300,9953.204254
-30.149406,300,9953.736833
-30.149105,300,9954.292933
-30.14802,300,9954.856479
-30.149113,300,9955.426808
-30.149654,300,10192.486086
-30.149733,300,10192.916796
-30.147934,300,10193.409073
-30.149658,300,10193.889169
-30.149889,300,10194.360564
-30.148436,300,10408.881805
-30.149628,300,10409.33727
-30.147943,300,10409.814336
-30.149652,300,10410.299056
-30.148832,300,10410.782893
-30.14891,300,10624.968174
-30.14897,300,10625.404206
-30.14798,300,10625.836344
-30.14985,300,10626.277186
-30.149275,300,10626.77037
-30.149683,300,10841.467131
-30.149628,300,10841.99712
-30.148582,300,10842.506436
-30.149189,300,10843.028472
-30.149733,300,10843.538575
98,300,790.811304
-30.1056,300,790.811318
-30.104546,300,790.811342
-30.10608,300,804.146966
-30.10594,300,804.147062
-30.104975,300,804.147076
-30.105402,300,804.147102
-30.101784,300,815.55587
-30.104113,300,815.555967
-30.104332,300,815.555982
-30.10369,300,815.555991
-30.104002,300,826.830653
-30.104425,300,826.830739
-30.10357,300,826.830755
-30.10431,300,826.830765
-30.10751,300,839.023512
-30.108105,300,839.02361
-30.107859,300,839.023624
-30.107605,300,839.023634
-30.104923,300,851.01531
-30.105743,300,851.015405
-30.105629,300,851.01542
-30.105478,300,851.015429
-30.105692,300,862.218215
-30.10568,300,862.218307
-30.105713,300,862.21834
-30.105568,300,862.218355
-30.107258,300,874.211479
-30.107634,300,874.211558
-30.107635,300,874.211572
-30.107986,300,874.211581
-30.107082,300,886.65136
-30.106966,300,886.651497
-30.107471,300,886.651511
-30.107363,300,886.651521
-30.106733,300,898.64151
-30.107931,300,898.641602
-30.107363,300,898.641618
-30.108156,300,898.641629
-30.111504,300,911.068765
-30.112242,300,911.068849
-30.1101,300,911.068863
-30.110647,300,911.068873
-30.114832,300,923.446615
-30.114336,300,923.446688
-30.115261,300,923.446702
-30.114628,300,923.446719
-30.111113,300,936.25632
-30.111248,300,936.256438
-30.110977,300,936.256461
-30.110954,300,936.256473
-30.109577,300,950.465292
-30.110502,300,950.465438
-30.110163,300,950.46546
-30.108505,300,950.465474
-30.109028,300,964.715237
-30.109673,300,964.715321
-30.108948,300,964.715338
-30.109985,300,964.715351
-30.103996,300,979.080934
-30.105337,300,979.081007
-30.105938,300,979.081021
-30.105598,300,979.081031
-30.108616,300,993.32375
-30.109262,300,993.323854
-30.109718,300,993.323873
-30.109035,300,993.323884
-30.104036,300,1007.285674
-30.104492,300,1007.285755
-30.104897,300,1007.285768
-30.105442,300,1007.285777
-30.106335,300,1023.667892
-30.105738,300,1023.667994
-30.105675,300,1023.668013
-30.104477,300,1023.668023
-30.1082,300,1037.739092
-30.10872,300,1037.739477
-30.10697,300,1037.740629
-30.108076,300,1037.740659
-30.112175,300,1052.240663
-30.11011,300,1052.240747
-30.112768,300,1052.240762
-30.111582,300,1052.240771
-30.115349,300,1066.232818
-30.1137,300,1066.232902
-30.11455,300,1066.232916
-30.114334,300,1066.232925
-30.113924,300,1080.135788
-30.114199,300,1080.135899
-30.113749,300,1080.135917
-30.114141,300,1080.135926
-30.111847,300,1094.404676
-30.112303,300,1094.404779
-30.110638,300,1094.404796
-30.112127,300,1094.404805
-30.114964,300,1108.71325
-30.115398,300,1108.713407
-30.116219,300,1108.713429
-30.116226,300,1108.713444
-30.11679,300,1122.789926
-30.116657,300,1122.790051
-30.11707,300,1122.790071
-30.11771,300,1122.790082
-30.117355,300,1137.017972
-30.117647,300,1137.018146
-30.117466,300,1137.018171
-30.118698,300,1137.018187
-30.118832,300,1151.278542
-30.118797,300,1151.27879
-30.117638,300,1151.27882
-30.11783,300,1151.278832
-30.124052,300,1165.794739
-30.123814,300,1165.794892
-30.124863,300,1165.794913
-30.122768,300,1165.794924
-30.137625,300,1179.908439
-30.136078,300,1179.908571
-30.136742,300,1179.908612
-30.137707,300,1179.908631
-30.104412,300,1193.745704
-30.106117,300,1193.745793
-30.104057,300,1193.745826
-30.105518,300,1193.745836
-30.104662,300,1206.92916
-30.105484,300,1206.929251
-30.106525,300,1206.929267
-30.106113,300,1206.929277
-30.104422,300,1220.548607
-30.10607,300,1220.548681
-30.106411,300,1220.548696
-30.106104,300,1220.548706
-30.10542,300,1234.238553
-30.104088,300,1234.238672
-30.10746,300,1234.238691
-30.10686,300,1234.238706
-30.117168,300,1249.01609
-30.121298,300,1249.016174
-30.118414,300,1249.016191
-30.110838,300,1249.016201
-30.132936,300,1265.860812
-30.134624,300,1265.860949
-30.133512,300,1265.860967
-30.134228,300,1265.860979
-30.12347,300,1280.094669
-30.122555,300,1280.094785
-30.124744,300,1280.094802
-30.123219,300,1280.094815
-30.140032,300,1294.456262
-30.141655,300,1294.456362
